av_alive	av_w0	av_th0	av_g0	av_ga0	av_alphw	av_alphth	av_beta	av_v	av_gf	av_mf	av_cif	sd_w0	sd_th0	sd_g0	sd_ga0	sd_alphw	sd_alphth	sd_beta	sd_v	sd_gf	sd_mf	sd_cif
0.98675	-0.065524831984425	3.97818459689617	0.0854637802573852	1.33306244382262	0.0646034315686557	56.874364979744	1.12808747471869	0.790269998520613	0.0462262139497325	1	0.0183100660094933	0.0641402189922196	0.255232276364632	0.0599110205656139	0.367230734654609	0.0276428355209358	8.15587120750765	0.132826754405378	0.0442611627713194	0.030207094690849	0	0.0193832591282826
0.98325	-0.0686673187506385	3.8687013272047	0.0755397921174736	1.0299951917138	0.06940088434465	56.6585013461113	1.3901386719048	0.804971547737718	0.0558371779975005	1	0.0182172949616761	0.0673947557592098	0.258122722677366	0.0569183133018393	0.329330963422076	0.0309462615528815	9.08959836871106	0.235835541646015	0.028793671628095	0.0300056808328515	0	0.0199464697596058
0.9835	-0.0545965609038249	3.81246473664045	0.0698812141765375	1.18612516157329	0.0506213564267382	51.2037535305023	1.32645190221071	0.815939526766539	0.0331580870226899	1	0.0198671058247055	0.0614731830643784	0.277043369088564	0.050871761614467	0.241481954570254	0.0238812129439091	4.6764124859198	0.137059085691882	0.0439497532438939	0.022228477069681	0	0.023229312261176
0.985	-0.0788557185654063	3.70381539815664	0.0444051578925118	1.26051393109933	0.0674593946074601	44.9495647072792	1.25753180396557	0.79446210193634	0.0620020319204777	1	0.0199738339984324	0.0693363178026995	0.300971010078396	0.0467191742355613	0.339844241238046	0.0392203454046673	5.13340399916533	0.120246016875606	0.0285209212212381	0.0409437423362821	0	0.0206898155329538
0.98325	-0.0775047973641194	3.69268821007013	0.0741631304267648	1.08996860616468	0.047214100453537	44.3084690313339	1.20757531990111	0.807965364575386	0.0308170599201258	1	0.021758105134606	0.0580330597424303	0.248813075050683	0.063276597101919	0.436095518726807	0.0247024721794638	6.70002724054581	0.136767892113391	0.0311009751463638	0.0226342973387765	0	0.0201814731698782
0.98775	-0.0705916642342927	3.83343016606569	0.0903943464468393	0.992995655738749	0.0454872692362987	54.2735988483429	1.25945637518167	0.801006833925843	0.0399397476033919	1	0.0190789218657883	0.0671341449182968	0.232423786960507	0.0570772474025513	0.552142350472356	0.0239614673194944	5.86813715524637	0.181695786906955	0.0333076872111153	0.028493752265831	0	0.0202043801789762
0.984	-0.0937942751588998	3.66954569995403	0.0666132755314466	1.17809897972643	0.0546416830444505	57.2036418147087	1.11606920280308	0.808173429504037	0.0320229397464427	1	0.0266961071872211	0.0717023256159489	0.214601770486252	0.0541492351497394	0.283411961071455	0.0257660364086426	8.4744280918833	0.214088530997709	0.0397861833891236	0.0215389929185007	0	0.0230738520266454
0.9855	-0.0768743832829641	3.76078896439075	0.0889559111241251	1.00156536131725	0.0552294573619729	56.2675892887115	1.14588992720097	0.799007385283709	0.0392204475017643	1	0.028426285190395	0.0702173329403298	0.259721955943148	0.062541163363423	0.270627810644806	0.0246624273566959	4.97875405104129	0.225296598728868	0.0383895616681334	0.0221599944894237	0	0.0237246344918868
0.98325	-0.0691349973186152	3.92143263918161	0.0648102452522726	0.994270317707211	0.0530881363591179	57.3227245931625	1.25623169814795	0.796141253948212	0.0619882548801834	1	0.0203875359536178	0.0561738943050362	0.330892884977519	0.0617026865349025	0.313984138043039	0.022718857926811	5.03132398966407	0.352539867731829	0.0498787732196514	0.0304468546588797	0	0.0197148325662109
0.98525	-0.0554361521510873	3.85334215790033	0.0781912744223373	1.25329724659771	0.0433255368152168	61.8612100915909	1.2998254204616	0.806258853808045	0.0466442534477101	1	0.0165975191022771	0.0713746420430812	0.215726663821354	0.0568493830962639	0.294167419835076	0.0212557179004314	4.35572300348626	0.257984379301524	0.0529777582590145	0.0308108336712521	0	0.0184273648695801
